gene	monte_carlo_iterations	top10_probability	top20_probability	top30_probability	median_rank	rank_p2_5	rank_p97_5
GPR183	5000	0.0	0.0	0.0	363.0	129.0	417.0
C9	5000	0.0	0.0	0.0	364.0	156.0	413.0
FCGRT	5000	0.0	0.0	0.0	367.0	221.0	403.0
TSC22D1	5000	0.0	0.0	0.0	368.0	181.0	408.0
ACTG1	5000	0.0	0.0	0.0	369.0	231.0	408.0
CSTA	5000	0.0	0.0	0.0	369.0	305.0	390.0
LRP2	5000	0.0	0.0	0.0	369.0	241.0	419.0
HLA-DQA2	5000	0.0	0.0	0.0	370.0	154.0	425.0
CHKA	5000	0.0	0.0	0.0	370.0	249.0	418.0
PITPNC1	5000	0.0	0.0	0.0	374.0	218.0	417.0
OLR1	5000	0.0	0.0	0.0	375.0	290.0	402.0
PRDX1	5000	0.0	0.0	0.0	376.0	248.0	414.0
LST1	5000	0.0	0.0	0.0	377.0	135.0	425.0
MANBA	5000	0.0	0.0	0.0	378.0	263.0	410.0
CCL4L2	5000	0.0	0.0	0.0	380.0	229.97500000000002	411.0
SLC1A3	5000	0.0	0.0	0.0	380.0	294.0	406.0
COL9A2	5000	0.0	0.0	0.0	380.0	253.0	421.0
CD83	5000	0.0	0.0	0.0	381.0	257.975	408.0
CCL4	5000	0.0	0.0	0.0	383.0	291.0	406.0
VAMP8	5000	0.0	0.0	0.0	384.0	260.0	407.0
UBB	5000	0.0	0.0	0.0	385.0	261.0	417.0
YBX3	5000	0.0	0.0	0.0	385.0	258.0	419.0
HLA-DRB5	5000	0.0	0.0	0.0	386.0	255.0	426.02499999999964
IER3	5000	0.0	0.0	0.0	387.0	188.97500000000002	426.0
LPAR6	5000	0.0	0.0	0.0	387.0	171.0	422.0
LGALS3	5000	0.0	0.0	0.0	389.0	285.0	408.0
AHSP	5000	0.0	0.0	0.0	391.0	184.0	425.0
GUCY1A1	5000	0.0	0.0	0.0	391.0	259.975	425.0
TRAC	5000	0.0	0.0	0.0	392.0	208.95000000000002	422.0
GYPC	5000	0.0	0.0	0.0	395.0	289.0	413.0
KLF1	5000	0.0	0.0	0.0	396.0	188.0	427.0
TNR	5000	0.0	0.0	0.0	398.0	156.0	428.0
MEP1A	5000	0.0	0.0	0.0	400.0	216.0	421.0
APOC2	5000	0.0	0.0	0.0	401.0	321.0	419.0
KNG1	5000	0.0	0.0	0.0	406.0	256.0	422.0
FOS	5000	0.0	0.0	0.0	410.0	360.0	416.0
C4BPA	5000	0.0	0.0	0.0	410.0	342.0	420.0
MYL6	5000	0.0	0.0	0.0	413.0	377.0	419.0
TCIM	5000	0.0	0.0	0.0	416.0	340.0	430.0
IFITM3	5000	0.0	0.0	0.0	416.0	356.975	427.0
HLA-DRB6	5000	0.0	0.0	0.0	417.0	376.0	430.0
FGB	5000	0.0	0.0	0.0	418.0	380.0	422.0
