gene	universe_source	reconstruction_status
MAP1B	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MAP3K8	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MCAM	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MECOM	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MEP1A	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MFNG	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MGP	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MIR100HG	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MIR4435-2HG	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MKRN1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MMP9	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MNDA	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MPEG1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MRC1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MS4A4A	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MS4A6A	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MS4A7	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MSR1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MT2A	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MTATP6P1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MYL6	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
MYL9	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
NAMPT	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
NCF2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
NDUFA4L2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
NFIB	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
NGF	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
NNMT	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
NOTCH3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
NPC2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
NPL	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
NR2F2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
NR2F2-AS1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
NRCAM	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
NRG3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
NTM	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
OLR1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PABPC1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PALLD	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PARD3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PCDH17	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PCOLCE	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PDE3A	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PDE4D	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PDGFRB	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PDLIM3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PEAK1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PECAM1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PFKFB3	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PHLDA1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PIEZO2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PIM1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PITPNC1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PLCB1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PLEKHG1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PLOD2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PLXDC1	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
PLXDC2	results/ranking/primary_rank_average_ties.csv	reconstructed_from_archived_primary_ranking
